emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
47,66,160,652,718,220,52,44
48,65,147,684,741,228,52,46
53,73,168,691,799,215,54,51
54,78,178,600,848,233,49,52
57,84,191,614,809,260,56,51
55,80,182,680,790,259,57,50
51,75,175,666,756,253,60,48
47,73,164,652,719,263,59,47
46,71,162,687,645,234,59,45
45,63,150,638,759,229,56,43
47,66,160,652,718,220,52,44
48,65,147,684,741,228,52,46
53,73,168,691,799,215,54,51
54,78,178,600,848,233,49,52
57,84,191,614,809,260,56,51
55,80,182,680,790,259,57,50
51,75,175,666,756,253,60,48
47,73,164,652,719,263,59,47
46,71,162,687,645,234,59,45
46,72,168,697,678,194,56,48
45,71,167,609,691,200,55,46
41,64,161,578,691,246,48,42
43,63,162,627,643,252,53,39
42,61,156,590,594,263,54,39
42,62,137,548,647,269,53,37
44,65,133,599,655,287,52,39
43,67,129,600,654,247,55,41
42,64,124,613,685,226,51,43
42,59,119,666,713,232,51,42
38,51,113,731,655,250,51,41
37,50,128,775,586,218,60,41
43,58,141,808,569,259,58,41
45,66,142,768,456,296,58,40
48,73,151,728,533,297,61,45
46,73,156,675,581,311,64,44
49,75,151,664,686,308,64,47
50,77,169,739,778,295,65,50
45,71,170,739,881,264,63,48
42,65,155,723,847,253,62,44
38,51,113,731,655,250,51,41
37,50,128,775,586,218,60,41
43,58,141,808,569,259,58,41
45,66,142,768,456,296,58,40
48,73,151,728,533,297,61,45
46,73,156,675,581,311,64,44
49,75,151,664,686,308,64,47
50,77,169,739,778,295,65,50
45,71,170,739,881,264,63,48
42,65,155,723,847,253,62,44
43,65,151,720,871,251,59,49
38,61,142,637,819,264,55,44
33,55,134,538,816,248,52,40
34,54,122,524,786,246,53,38
36,58,143,513,794,322,51,41
33,56,154,591,838,295,46,32
35,55,152,599,824,291,50,33
42,64,154,639,774,312,50,39
41,62,158,714,739,324,51,38
39,62,140,738,761,254,51,36
43,62,140,681,674,272,57,40
44,65,150,698,650,267,54,43
35,57,140,651,716,278,56,39
35,56,141,595,719,322,56,40
40,54,153,662,688,329,58,45
42,61,143,703,668,323,60,47
43,64,143,683,676,380,59,47
50,69,149,656,673,351,65,52
51,70,145,626,667,345,67,53
51,74,145,599,703,330,73,51
43,62,140,681,674,272,57,40
44,65,150,698,650,267,54,43
35,57,140,651,716,278,56,39
35,56,141,595,719,322,56,40
40,54,153,662,688,329,58,45
42,61,143,703,668,323,60,47
43,64,143,683,676,380,59,47
50,69,149,656,673,351,65,52
51,70,145,626,667,345,67,53
51,74,145,599,703,330,73,51
47,69,147,586,733,315,69,49
45,68,163,673,771,262,67,46
36,58,150,729,730,293,60,37
38,59,152,737,744,252,61,38
33,52,145,727,716,252,54,34
34,53,139,720,745,318,55,34
35,51,121,656,773,306,56,37
44,60,136,622,761,281,64,45
49,67,141,682,747,305,70,52
51,71,153,638,776,309,70,53
52,76,163,674,704,244,72,56
54,79,174,670,642,260,68,55
49,77,177,737,600,322,64,49
44,71,170,693,627,282,61,41
40,67,164,757,541,321,59,39
39,61,158,707,624,335,56,34
36,54,142,686,629,324,58,33
31,45,115,572,665,274,58,31
28,40,116,562,613,266,53,27
29,45,133,476,636,210,53,27
52,76,163,674,704,244,72,56
54,79,174,670,642,260,68,55
49,77,177,737,600,322,64,49
44,71,170,693,627,282,61,41
40,67,164,757,541,321,59,39
39,61,158,707,624,335,56,34
36,54,142,686,629,324,58,33
31,45,115,572,665,274,58,31
28,40,116,562,613,266,53,27
29,45,133,476,636,210,53,27
27,42,130,545,609,271,53,26
30,46,127,547,657,271,57,30
35,57,161,618,618,256,54,34
39,60,159,607,655,286,55,39
